M,m,alpha,delta,log_delta
3,250,0.55,0.004692011005740872,2.3286409778593806
3,250,0.6000000000000001,0.0015040148544947876,2.822747874387156
3,250,0.6500000000000001,0.0007717954656109589,3.1124977772882345
3,250,0.7000000000000002,0.004752291540748168,2.3230969243706414
3,250,0.7500000000000002,0.019592692792585326,1.7079058710704902
3,250,0.8000000000000003,0.011850723395401375,1.9262551385110815
3,250,0.8500000000000003,0.01052928832891129,1.977600981641831
3,250,0.9000000000000004,0.006158829618439293,2.210501810326884
3,250,0.9500000000000004,0.01769045403177291,1.7522610206254283
3,250,1.0000000000000004,0.022644700040197908,1.6450334277630794
3,270,0.5,9.400284148353772e-05,4.0268590185070074
3,270,0.55,0.002505648893166445,2.6010797850750493
3,270,0.6000000000000001,0.007683586604558794,2.1144360092695567
3,270,0.6500000000000001,0.0029942335391227684,2.523714329311321
3,270,0.7000000000000002,0.004285979194676723,2.367949941474084
3,270,0.7500000000000002,0.039033514397015814,1.4085623450928384
3,270,0.8000000000000003,0.04084851888322662,1.3888236858268694
3,270,0.8500000000000003,0.020878577650505215,1.6802990908985795
3,270,0.9000000000000004,0.02201336649375973,1.6573135359172457
3,270,0.9500000000000004,0.016771604047125983,1.7754253992006257
3,270,1.0000000000000004,0.011683359484435336,1.9324322603256938
3,290,0.5,0.0002767112998616768,3.5579731055234145
3,290,0.55,0.007425417502608283,2.1292791226193124
3,290,0.6000000000000001,0.006910747556899297,2.1604749711097506
3,290,0.6500000000000001,0.0017251847114827625,2.763164399209191
3,290,0.7000000000000002,0.005432095233341873,2.265032624781988
3,290,0.7500000000000002,0.0376863152463727,1.4238163233197643
3,290,0.8000000000000003,0.04425499079633909,1.354037745235337
3,290,0.8500000000000003,0.006305508208605866,2.2002799046026347
3,290,0.9000000000000004,0.011185771645481167,1.951334050922283
3,290,0.9500000000000004,0.01264984703406639,1.8979147260820404
3,290,1.0000000000000004,0.013904309494569472,1.856850573872411
3,310,0.5,0.00027937522306448274,3.5538121127655624
3,310,0.55,0.0077056594896815055,2.113190186215793
3,310,0.6000000000000001,0.006030084292248132,2.2196766169805175
3,310,0.6500000000000001,0.0014569442533944545,2.836557065187008
3,310,0.7000000000000002,0.002889420186895398,2.5391892973455956
3,310,0.7500000000000002,0.03777136105780353,1.4228373654704995
3,310,0.8000000000000003,0.016896321761863217,1.7722078286638525
3,310,0.8500000000000003,0.008378181007843138,2.076850261084101
3,310,0.9000000000000004,0.019419369965363517,1.7117648642840697
3,310,0.9500000000000004,0.008151325595131317,2.0887717591327553
3,310,1.0000000000000004,0.014161870782506344,1.8488793725746875
3,330,0.5,7.95685430601528e-05,4.099258594015444
3,330,0.55,0.005498035193852947,2.2597924844912387
3,330,0.6000000000000001,0.00029502318514051213,3.5301438525543105
3,330,0.6500000000000001,0.0018465803815378508,2.7336317827876977
3,330,0.7000000000000002,0.005592187935544968,2.252418241769057
3,330,0.7500000000000002,0.02543224231881619,1.5946153471087217
3,330,0.8000000000000003,0.012295507754045566,1.910253531973909
3,330,0.8500000000000003,0.008959471083625967,2.0477176278649676
3,330,0.9000000000000004,0.009312750207558501,2.030922045808512
3,330,0.9500000000000004,0.0036946416850109046,2.4324276741211768
3,330,1.0000000000000004,0.08165718756238866,1.0880055821300099
3,350,0.5,6.436498152794626e-05,4.191350351049449
3,350,0.55,0.010707557806277579,1.9703095723243786
3,350,0.6000000000000001,0.0069278999518962965,2.15939839273625
3,350,0.6500000000000001,0.0007179354089568712,3.143914626503438
3,350,0.7000000000000002,0.0025998595095482174,2.58505011967398
3,350,0.7500000000000002,0.006685995963228658,2.1748338899552433
3,350,0.8000000000000003,0.01345308722664736,1.8711780419332815
3,350,0.8500000000000003,0.004052750475206902,2.3922501346192044
3,350,0.9000000000000004,0.018209640388666598,1.7396986307432372
3,350,0.9500000000000004,0.013876503604030373,1.8577199471924262
3,350,1.0000000000000004,2.970268474995008,-0.47279570586241104
3,370,0.5,0.00037807443648175455,3.422422686483637
3,370,0.55,0.0036736622387495356,2.4349007757902554
3,370,0.6000000000000001,0.005669638605505253,2.2464446230536477
3,370,0.6500000000000001,0.0008620536676512347,3.064465696078698
3,370,0.7000000000000002,0.008211753786093514,2.085564080604901
3,370,0.7500000000000002,0.013724731489230072,1.8624961433358966
3,370,0.8000000000000003,0.003417713055117862,2.4662644026480933
3,370,0.8500000000000003,0.040205429724088575,1.3957152916923292
3,370,0.9000000000000004,0.014365261485382034,1.842686464303085
3,370,0.9500000000000004,0.0030883675286604044,2.510271022399996
3,370,1.0000000000000004,4.8436680284227815,-0.6851743701513109
3,390,0.5,0.00034404943453697826,3.463379151602422
3,390,0.55,0.0023652794496003236,2.6261175415013183
