M,m,alpha,delta,log_delta
3,70,0.8000000000000003,0.00826108267947446,2.082963031262151
3,70,0.8500000000000003,0.052193355857336594,1.282384778571472
3,70,0.9000000000000004,0.1135368002442576,0.9448633494610016
3,70,0.9500000000000004,0.011640054116513181,1.9340450005754413
3,70,1.0000000000000004,0.048041775783455136,1.3183809480072217
3,90,0.5,0.02820930121068521,1.5496076718773257
3,90,0.55,0.07123124835873386,1.1473294443882853
3,90,0.6000000000000001,0.06458985221464865,1.1898357091468337
3,90,0.6500000000000001,0.00283121983261548,2.5480264081392274
3,90,0.7000000000000002,0.0021460223275198364,2.6683657638853444
3,90,0.7500000000000002,0.02609154783278483,1.5835001564192117
3,90,0.8000000000000003,0.036241881457083215,1.4407892644935902
3,90,0.8500000000000003,0.06105225912241765,1.214298261182696
3,90,0.9000000000000004,0.020532632128815908,1.6875553737785727
3,90,0.9500000000000004,0.017006584342869044,1.7693829027307346
3,90,1.0000000000000004,0.0126804177563129,1.8968664383886042
3,110,0.5,0.02823153590767371,1.5492654938657493
3,110,0.55,0.056428833363150514,1.2484989284502066
3,110,0.6000000000000001,0.11651563452679393,0.9336157953835443
3,110,0.6500000000000001,0.010220906068426036,1.9905106029219015
3,110,0.7000000000000002,0.008550343653016065,2.068016429878928
3,110,0.7500000000000002,0.07849137267829417,1.1051780757912595
3,110,0.8000000000000003,0.045858438450079565,1.3385807377451977
3,110,0.8500000000000003,0.008857296222518612,2.052698830578611
3,110,0.9000000000000004,0.00404313465216746,2.3932817947238303
3,110,0.9500000000000004,0.02477677047182115,1.6059553023857829
3,110,1.0000000000000004,0.014525668312579718,1.8378638769900575
3,130,0.5,0.028263573869479554,1.548772923391238
3,130,0.55,0.1056277774792456,0.9762218581317116
3,130,0.6000000000000001,0.0052414080691222135,2.280552027042488
3,130,0.6500000000000001,0.015796116443740828,1.801449673448554
3,130,0.7000000000000002,0.030336731433501716,1.5180312131624325
3,130,0.7500000000000002,0.03784446410655719,1.42199764017474
3,130,0.8000000000000003,0.005756584897684873,2.239835086012041
3,130,0.8500000000000003,0.03399605301299429,1.4685715021983534
3,130,0.9000000000000004,0.004698078076683543,2.3280797700209357
3,130,0.9500000000000004,0.007658153665747663,2.115875923504561
3,130,1.0000000000000004,0.012437455328702081,1.9052684660880694
3,150,0.5,0.028192289687994053,1.5498696506811096
3,150,0.55,0.05985205958075885,1.222920900409306
3,150,0.6000000000000001,0.04815450725048194,1.3173630567761974
3,150,0.6500000000000001,0.013160142965726223,1.880739392721399
3,150,0.7000000000000002,0.02901000560348375,1.537452187310337
3,150,0.7500000000000002,0.009648905451736942,2.0155219491672365
3,150,0.8000000000000003,0.01757567828464893,1.755087905591441
3,150,0.8500000000000003,0.020256102362521868,1.6934441169862937
3,150,0.9000000000000004,0.01044956233331288,1.9809018990464797
3,150,0.9500000000000004,0.019484470684128636,1.7103113877714469
3,150,1.0000000000000004,0.005913343271634269,2.2281669093233414
3,170,0.5,0.02816876938505954,1.5502321257139824
3,170,0.55,0.15859198118401072,0.7997187755025058
3,170,0.6000000000000001,0.013736531926634482,1.8621229001178692
3,170,0.6500000000000001,0.0038636331117162196,2.413004120642202
3,170,0.7000000000000002,0.029205012834923844,1.5345425985619219
3,170,0.7500000000000002,0.041591757989045464,1.3809927226067886
3,170,0.8000000000000003,0.008914578920764889,2.0498991658601535
3,170,0.8500000000000003,0.005232354364758192,2.2813028507985633
3,170,0.9000000000000004,0.009320677488609876,2.0305525190975975
3,170,0.9500000000000004,0.018929185397417492,1.7228680751549927
3,170,1.0000000000000004,0.023665832888925778,1.625878206484417
3,190,0.5,0.028207748400583012,1.5496315787233463
3,190,0.55,0.016153671867400857,1.7917287432712379
3,190,0.6000000000000001,0.127193204997945,0.8955360892435924
3,190,0.6500000000000001,0.0029783540518168324,2.5260236767615716
3,190,0.7000000000000002,0.05646761639910971,1.2482005442369462
3,190,0.7500000000000002,0.03865935868205764,1.4127453547346174
3,190,0.8000000000000003,0.016041487799848268,1.7947553546740855
3,190,0.8500000000000003,0.010794895747279269,1.9667815475492934
3,190,0.9000000000000004,0.01817470378934422,1.7405326585267835
3,190,0.9500000000000004,0.025645502215411523,1.5909887917338752
3,190,1.0000000000000004,0.008478699651567126,2.071670748857954
3,210,0.5,0.028171572852722933,1.5501889051551767
3,210,0.55,0.08924859381567654,1.049398617825329
3,210,0.6000000000000001,0.00985704183220789,2.0062534003433257
3,210,0.6500000000000001,0.13158372323321654,0.8807978291657379
3,210,0.7000000000000002,0.005584603852884113,2.2530076283869303
3,210,0.7500000000000002,0.029389659729797082,1.53180544211136
3,210,0.8000000000000003,0.016283031399335807,1.7882647396526758
3,210,0.8500000000000003,0.019644422765848612,1.7067607280275288
3,210,0.9000000000000004,0.02374029452520989,1.6245138974336604
3,210,0.9500000000000004,0.007912026508028398,2.1017122663715475
3,210,1.0000000000000004,0.007163366136135867,2.1448828504831963
3,230,0.5,0.02816114336867282,1.5503497164111442
3,230,0.55,0.1399079317880202,0.8541576633915104
3,230,0.6000000000000001,0.13713298701329812,0.8628580641407593
3,230,0.6500000000000001,0.10544517560134767,0.9769732856034251
3,230,0.7000000000000002,0.13748362587704932,0.8617490226678534
3,230,0.7500000000000002,0.12988505658811336,0.8864408120881759
3,230,0.8000000000000003,0.006118788833690991,2.2133345345374953
3,230,0.8500000000000003,0.013339493217221166,1.874860669455835
3,230,0.9000000000000004,0.01562925106947699,1.8060618322294535
3,230,0.9500000000000004,0.013421981250515764,1.8721833721955745
3,230,1.0000000000000004,0.005626557897155092,2.2497572078900845
3,250,0.5,0.02725961166682325,1.5644803353009444
3,250,0.55,0.014123940443845403,1.8500441223864708
3,250,0.6000000000000001,0.04491917572057825,1.3475682217625147
3,250,0.6500000000000001,0.003171811839814421,2.4986925840764056
3,250,0.7000000000000002,0.02473736512095328,1.606646560744533
3,250,0.7500000000000002,0.006053542416074469,2.2179904102186394
3,250,0.8000000000000003,0.0029375506811508863,2.5320146318336394
3,250,0.8500000000000003,0.02183183586726957,1.6609097423714632
3,250,0.9000000000000004,0.009010806622659894,2.0452363304315666
3,250,0.9500000000000004,0.007507227810239763,2.124520405070221
3,250,1.0000000000000004,0.010237789071009931,1.9897938224552523
3,270,0.5,0.02723922756649638,1.5648052120442983
3,270,0.55,0.013765302918574696,1.8612142271026204
3,270,0.6000000000000001,0.03789485137595102,1.4214197919028124
3,270,0.6500000000000001,0.003207220210497293,2.4938712200152686
3,270,0.7000000000000002,0.024537453097417353,1.6101705175316132
3,270,0.7500000000000002,0.005775590726434238,2.2384035895985277
3,270,0.8000000000000003,0.0058839134121527106,2.2303337269881807
3,270,0.8500000000000003,0.0068924019465791886,2.1616294035845383
3,270,0.9000000000000004,0.0010298020712539383,2.987246239005918
3,270,0.9500000000000004,0.0052837304780048,2.2770593437639097
3,270,1.0000000000000004,0.010948967585190848,1.96062682997393
3,290,0.5,0.027238176089791587,1.5648219768128133
3,290,0.55,0.013987494237418114,1.8542600793846322
3,290,0.6000000000000001,0.03272153569957932,1.4851663220483236
3,290,0.6500000000000001,0.0030751680331830666,2.5121311485421014
3,290,0.7000000000000002,0.0010928730385715605,2.9614302880507086
3,290,0.7500000000000002,0.012791295500492694,1.8930854680136961
3,290,0.8000000000000003,0.004057363186004077,2.391756115633645
3,290,0.8500000000000003,0.013313467961843772,1.8757088024881658
3,290,0.9000000000000004,0.001185675232344312,2.926034252047435
3,290,0.9500000000000004,0.002369028082925995,2.6254297910343025
3,290,1.0000000000000004,0.004362797729567047,2.3602349215465765
3,310,0.5,0.027226870988593218,1.5650022664995644
3,310,0.55,0.013734089548070448,1.8622001252754325
3,310,0.6000000000000001,0.05519874953098684,1.258070760639343
3,310,0.6500000000000001,0.004357351011173263,2.360777453588369
3,310,0.7000000000000002,0.0009789514086004938,3.0092388643770462
3,310,0.7500000000000002,0.018255344407189927,1.7386099691929628
3,310,0.8000000000000003,0.002197544068582803,2.658062407016222
3,310,0.8500000000000003,0.02500128861301583,1.6020376064039843
3,310,0.9000000000000004,0.0024709651325565915,2.6071333828233794
3,310,0.9500000000000004,0.004156514225014911,2.3812707288551196
3,310,1.0000000000000004,0.005337260774257009,2.2726815773998834
3,330,0.5,0.027267060670014776,1.564361675538181
3,330,0.55,0.013800371497482247,1.8601092225020255
3,330,0.6000000000000001,0.02357280813152343,1.6275886786813674
3,330,0.6500000000000001,0.003954952180085163,2.402858763253711
3,330,0.7000000000000002,0.023425019964412687,1.6303200303044074
3,330,0.7500000000000002,0.016876353288854683,1.7727213916929694
3,330,0.8000000000000003,0.00643835901110165,2.191224810161549
3,330,0.8500000000000003,0.000802714678543059,3.095438795386293
3,330,0.9000000000000004,0.003700467397206843,2.4317434177687396
3,330,0.9500000000000004,0.002155377341469157,2.666476687001149
3,330,1.0000000000000004,0.003707386069283258,2.430932186285248
3,350,0.5,0.0272292330706755,1.564964590678552
3,350,0.55,0.013795856059475135,1.8602513455384673
3,350,0.6000000000000001,0.014520795881106427,1.8380095794141487
3,350,0.6500000000000001,0.011372288485320002,1.944152131922726
3,350,0.7000000000000002,0.0034294467224060357,2.4647759396621196
3,350,0.7500000000000002,0.005744150283798322,2.240774206201249
3,350,0.8000000000000003,0.0023808936584348876,2.6232600017334207
3,350,0.8500000000000003,0.026999252209896404,1.568648264197049
3,350,0.9000000000000004,0.0024525561003096406,2.6103810496865445
3,350,0.9500000000000004,0.009771223753338764,2.0100510415995387
3,350,1.0000000000000004,0.06831369840450736,1.1654922019556349
3,370,0.5,0.027259426634524585,1.5644832832071727
3,370,0.55,0.013699600174076301,1.86329210764113
3,370,0.6000000000000001,0.04836175492443931,1.31549794808894
3,370,0.6500000000000001,0.013300547542818503,1.876130480090811
3,370,0.7000000000000002,0.0191695371670104,1.7173883726847943
3,370,0.7500000000000002,0.009280296661769232,2.032438140536519
3,370,0.8000000000000003,0.0076636432887396844,2.1155647180914805
3,370,0.8500000000000003,0.017043491755598904,1.7684414251304625
3,370,0.9000000000000004,0.003789543045858998,2.421413155368719
3,370,0.9500000000000004,0.005178253439847835,2.2858166976566814
3,370,1.0000000000000004,0.2917570393550691,0.5349786567352685
3,390,0.5,0.027850721498670305,1.555163549544742
3,390,0.55,0.014642458492933217,1.8343859983954856
